@northern_rivers@	-location=118 -organization=1
@prism@	-person=47 -art=45 -broadcast_network=16 -organization=2 -product=1
@almería@	-organization=64 -location=27 -art=4
@principality_of_asturias@	-location=20
@buck@	-person=13 -art=11 -living_thing=11 -location=3 -organization=1 -product=1
@yaksha@	-god=86 -location=5
@old_town@	-location=220
@2007–08_serie_a@	-event=23
@keith_stackpole@	-person=40
@ansted@	-location=29 -organization=5
@post-graduate@	-education-educational_degree=31
@broadview@	-location=48
@matt_di_angelo@	-person=60
@port_authority_bus_terminal@	-location=296
@fairfield@	-location=447 -organization=66 -event=3
@cosmos@	-art=54 -organization=17 -living_thing=11 -location=7 -person=3
@fox_sports_net@	-broadcast_network=30 -broadcast-tv_channel=1 -broadcast_program=1
@valea_mare@	-location=23
@ucc@	-organization=135 -religion-religion=10
@vitamin_b12@	-chemistry=37 -disease=1
@kanada@	-person=21 -location=4 -language=1
@march@	-location=117 -art=18 -event=9 -person=5 -title=3 -product=1
@slovenian_championship@	-organization=31 -event=2
@prince_pedro_henrique_of_orléans-braganza@	-person=20
@our_man_higgins@	-broadcast_program=24
@quintus_servilius_caepio@	-person=31
@appalachian@	-location=142 -organization=4
@portland_storm@	-organization=30
@rodney_parade@	-location=70
@pisagua@	-location=29 -product=7 -event=1
@cyme@	-location=31 -living_thing=1
@richard_smalley@	-person=53
@spiru_haret@	-person=32
@merian@	-person=32 -art=5
@dhoby_ghaut@	-location=42
@dave_pomeroy@	-person=40
@charlotte_d'amboise@	-person=20
@leiden_observatory@	-location=32
@mark_waters@	-person=27
@line@	-metropolitan_transit-transit_line=54 -location=31 -location=25 -product=12 -organization=8 -art=6 -person=1
@big_bad_wolf@	-art=13 -location=8
@brahman@	-living_thing=43 -people-ethnicity=10 -person=4
@newlabour_party@	-organization=28
@howrah_bridge@	-location=39 -art=15
@bulldog_drummond_at_bay@	-art=23
@spoleto@	-location=47 -event=3 -organization=1
@uncensored@	-broadcast_program=23 -art=4
@parliament_building@	-location=22 -organization=7
@jack_grimes@	-person=24
@paparazzi@	-art=61 -broadcast_program=3
@lampedusa@	-location=110 -living_thing=2
@the_bank_job@	-art=41 -broadcast_program=8
@64_zoo_lane@	-broadcast_program=29
@deströyer_666@	-person=20
@british_north_america@	-location=1338
@madan_mohan@	-god=43 -person=30
@coleophora_gallipennella@	-living_thing=20
@mary_brunton@	-person=20
@pinophyta@	-living_thing=29
@apm@	-organization=31 -location=2
@the_bad_news_bears@	-art=50 -broadcast_program=18
@haralson_county@	-location=20
@molina@	-location=35 -person=16 -living_thing=1
@drive@	-art=221 -person=3 -product=3 -title=1 -event=1
@ludovic_stewart,_2nd_duke_of_lennox@	-person=25
@tilt@	-person=59 -art=27 -broadcast_program=20
@cafayate@	-location=27
@azio_corghi@	-person=22
@capo_d'orlando@	-location=22 -organization=5
@andrew_cuomo@	-person=331
@lefty_o'doul@	-person=56
@abdul_salam_arif@	-person=63
@for_your_pleasure@	-art=21
@amānullāh_khān@	-person=28
@turkish_state_railways@	-organization=184
@prince_john@	-person=49 -art=2
@william_sefton_moorhouse@	-person=38
@rowan@	-location=56 -living_thing=45 -organization=5 -person=3 -product=1 -art=1
@president_of_bolivia@	-title=264
@gloria_guida@	-person=28
@daniel_s._dickinson@	-person=51
@krystala@	-broadcast_program=33
@greater_moncton@	-location=35
@narvik@	-location=596 -event=9 -organization=2
@stand_by_your_man@	-art=38 -broadcast_program=5
@western_line@	-location=28 -metropolitan_transit-transit_line=4 -organization=2
@anatoli_boukreev@	-person=27
@ohio_state_university@	-organization=3032 -person=1
@nord-trøndelag_university_college@	-organization=23
@ukrainian_greek_catholic_church@	-organization=271 -location=2
@lion_music@	-organization=46
@oceanport,_new_jersey@	-location=75
@imperative_reaction@	-person=21
@mission_viejo,_california@	-location=102
@sergei_zakharov@	-person=135
@aberdyfi@	-location=48
@my_own_private_idaho@	-art=77
@kargil@	-location=65 -event=13
@santa_anita_derby@	-event=207
@nyamwezi@	-people-ethnicity=20 -language=4
@garbiñe_muguruza@	-person=46
@south_shields@	-location=783 -organization=139
@royal_canadian_air_force@	-organization=1407 -title=1
@journey@	-product=42 -art=35
@carmelites_of_mary_immaculate@	-organization=41
@buddy_holly@	-person=790 -art=39
@green_acres@	-broadcast_program=264 -location=7
@planet_heights@	-location=21
@orchard_park@	-location=59
@anglo-norman@	-people-ethnicity=463 -language=117
@thales@	-person=207 -organization=124
@ferdinand_i_of_romania@	-person=43
@amazing_grace@	-art=406 -event=2
@masterpiece_theatre@	-broadcast_program=36 -art=7
@smith_county@	-location=91
@lindau@	-location=215
@mount_scopus@	-location=112 -organization=2
@manchukuo@	-location=719 -organization=1
@drag-on@	-person=63
@sharif_university_of_technology@	-organization=146
@the_barbican@	-location=30
@tamannaah@	-person=86
@nnamdi_azikiwe_international_airport@	-location=44
@terry_tempest_williams@	-person=39
@kroner@	-finance-currency=44
@igor_shafarevich@	-person=22
@realnetworks@	-organization=175
@hattiesburg,_mississippi@	-location=237
@chechen@	-location=131 -language=82
@fieseler@	-organization=34 -person=1
@scunthorpe@	-location=358 -organization=54
@university_of_hohenheim@	-organization=49 -location=3
@andromeda_polifolia@	-living_thing=22
@napo_river@	-location=39
@gian_piero_gasperini@	-person=29
@dna@	-person=62 -art=57 -organization=10 -biology=3
@britt_daniel@	-person=53
@avalon_airport@	-location=35
@hoogstraten@	-location=44 -organization=4 -person=1
@sick_of_it_all@	-person=104 -art=2
@dominion_resources@	-organization=43
@borage_family@	-living_thing=113
@des_moines@	-location=601 -product=2
@james_faulkner@	-person=45
@orbit_books@	-organization=105
@fernando_poe,_sr.@	-person=20
@double_helix_games@	-person=23
@jade_macrae@	-person=29 -art=6
@124@	-location=11 -art=10 -product=6 -event=3
@warren_smith@	-person=96 -event=1
@charlie_griffith@	-person=40
@amigas_y_rivales@	-broadcast_program=22
@salta_province@	-location=280
@moscow_aviation_institute@	-organization=85
@fonzworth_bentley@	-person=34
@liffey_valley_shopping_centre@	-location=20
@billy_jack_goes_to_washington@	-art=22
@lbj@	-person=19 -location=1
@gao_yuanyuan@	-person=42
@northern_suburbs@	-location=34 -organization=5
@90125@	-art=48
@erdoğan@	-person=23
@tundra@	-product=13 -organization=7 -language=2 -living_thing=2 -location=1
@wordplay@	-broadcast_program=13 -art=8 -person=1
@los_angeles_times_book_prize@	-award=140 -art=2
@caroline@	-location=117 -person=96 -organization=35 -event=20 -product=11 -art=11
@slamannan_railway@	-organization=22
@fever@	-art=137 -medicine-symptom=45 -organization=4 -product=2 -person=1
@shelley_craft@	-person=24
@next_century_foundation@	-organization=25
@katihar_district@	-location=22
@hideaway@	-art=26 -location=2
@strictly_dance_fever@	-broadcast_program=20
@cadence@	-art=22 -organization=22
@bulgarian_agrarian_national_union@	-organization=39
@saturnia_pyri@	-living_thing=24
@hasselt@	-location=301 -event=2
@pine_island@	-location=44 -product=1
@dennis_the_menace@	-broadcast_program=192 -art=38 -product=3
@lord_cochrane@	-person=102 -title=2
@minho@	-location=184 -person=21
@josh_reddick@	-person=32
@amos@	-person=80 -location=47 -art=46
@salome@	-art=387 -person=202 -location=4 -product=1
@vic_damone@	-person=175
@taito@	-person=197 -location=1
@manganese@	-chemistry=109 -disease=1 -location=1
@parikrama@	-person=27 -location=1
@evan_williams@	-person=36
@original_film@	-art=41 -organization=26 -broadcast_program=2
@płońsk@	-location=237
@alampur@	-location=22
@ajax@	-computer-programming_language=300 -location=103 -art=27 -product=21 -organization=8
@grey_wolves@	-organization=83 -living_thing=2
@association_of_teachers_and_lecturers@	-organization=22
@aly_raisman@	-person=39
@silvina_ocampo@	-person=20
@ivan_neville@	-person=102
@national_solidarity_party@	-organization=51
@irwin_goodman@	-person=21
@waterloo@	-location=837 -event=394 -art=159 -organization=61 -product=2 -food=1 -person=1
@british_american@	-people-ethnicity=26 -organization=2
@william_h._danforth@	-person=20
@wyndham_worldwide@	-organization=43
@terry_yorath@	-person=53
@leo_frobenius@	-person=33
@fredericksburg@	-location=241 -organization=1
@aberdour@	-location=48 -organization=2
@agent_orange@	-chemistry=218 -art=6 -product=1
@nasal@	-body_part=17 -disease=4
@american_men's_singles_championship@	-event=40
@adam-ondi-ahman@	-location=39
@qara_yusuf@	-person=46
@rodeo@	-location=29 -art=3 -organization=2
@rutherfordton,_north_carolina@	-location=28
@how_to_destroy_angels@	-person=33 -art=8
@one_day_in_your_life@	-art=30
@david_lloyd-jones@	-person=33
@max_morrow@	-person=23
@kashiwazaki@	-location=33
@david_cook@	-person=231 -art=12
@tom_o'brien@	-person=43
@jaguar@	-organization=280 -living_thing=252 -product=88 -person=15 -art=2
@jim_griffiths@	-person=34
@l.d._50@	-art=21
@ny_417@	-location=23
@dukes@	-location=14 -organization=11 -person=8 -title=3
@pacajes_province@	-location=23
@c._torres@	-person=41
@sidewise_award_for_alternate_history@	-award=71
@de_pere@	-location=26 -organization=1
@akshay_anand@	-person=27
@ephraim@	-person=93 -location=29
@genrikh_yagoda@	-person=56
@crime_story@	-broadcast_program=96 -art=18
@arnaud_démare@	-person=37
@society_of_broadcast_engineers@	-organization=30
@pokémon_firered_and_leafgreen@	-product=45
@jason_and_the_argonauts@	-art=98 -broadcast_program=17
@sexually_transmitted_infections@	-disease=24 -art=1
@francis_bourne@	-person=28
@axwell@	-person=169 -location=1
@william_kristol@	-person=61
@ps.@	-art=32 -language=3
@claas@	-organization=24
@metropolitan_borough_of_dudley@	-location=57
@john_dunlap@	-person=23
@cali@	-location=693 -person=19 -organization=1
@ravensbrück@	-location=69
@emperor_xuan_of_western_liang@	-person=20
@suchitepéquez@	-location=24 -organization=6
@regen@	-location=51 -art=2
@dinas_powys@	-location=49 -organization=6
@cellular_jail@	-location=47
@william_beaumont@	-person=40
@harriet_lane@	-person=24 -product=3
@dean_koontz@	-person=243
@vasily_grossman@	-person=45
@boa_vista@	-location=144
@nicky_hilton@	-person=49
@nicolás_barrientos@	-person=21
@zbąszynek@	-location=22
@hlinka_guard@	-organization=26
@darius_reynaud@	-person=29
@california_department_of_water_resources@	-organization=61
@gmina_halinów@	-location=23
@president_of_the_council_of_ministers@	-title=67
@ferdinando_bertoni@	-person=25
@the_aquabats@	-person=154
@chi@	-organization=18 -location=13 -art=5 -event=1 -person=1
@cedar_grove,_new_jersey@	-location=27
@s.league@	-organization=568
@faithless@	-person=305 -art=11
@euphrosyne@	-god=17 -person=7
@american_dreamz@	-art=33
@erich_mielke@	-person=64
@low_thia_khiang@	-person=41
@karan@	-person=35 -location=10
@valero@	-organization=43 -person=1
@2009–10@	-event=1659 -organization=4 -award=1
@stephen_pearson@	-person=22
@mere@	-location=67
@attlee@	-person=43 -title=1
@new_territories@	-location=751 -event=1
@bishop_of_hexham@	-title=22
@hotchkiss@	-organization=116 -location=7
@upper_darby_high_school@	-organization=21
@clips@	-computer-programming_language=21 -broadcast_program=2
@lacey_schwimmer@	-person=49
@orson_pratt@	-person=120
@yilan@	-location=51 -organization=4
@carlingford_lough@	-location=67
@lyell@	-person=12 -location=7 -award=2
@vidyut_jamwal@	-person=26
@qarah_su_rural_district@	-location=73
@dennis_publishing@	-organization=53
@paul_craig_roberts@	-person=31
@jasmine@	-living_thing=45 -person=8 -art=6 -organization=4 -food=3
@the_bachelor@	-broadcast_program=119 -art=22
@gmina_drużbice@	-location=48
@whitney_museum_of_american_art@	-location=1029 -organization=1
@samuel_vincent@	-person=89
@oswestry_school@	-organization=40
@minister_of_national_revenue@	-title=45
@professional_bowlers_association@	-organization=109 -broadcast_program=1
@sweet_lorraine@	-art=55
@v._dakshinamoorthy@	-person=24
@ahmad_shah_massoud@	-person=125
@south_region@	-location=238 -event=1
@shakaya@	-person=27 -art=4
@reading_rockets@	-organization=22
@roy_romer@	-person=55
@mpv@	-product=43 -broadcast_program=1
@bernard_mandeville@	-person=26
@gabriel_hogan@	-person=34
@doe@	-organization=72 -living_thing=14 -location=4 -event=1
@neustadt_am_rübenberge@	-location=43
@auxerre@	-organization=263 -location=243
@semarang@	-location=446
@john_alen@	-person=20
@romário@	-person=112
@skills_funding_agency@	-organization=24
@tony_platt@	-person=33
@st._martin's_day@	-time=40
@richardson_highway@	-location=61
@full_moon_fever@	-art=31
@linda_howard@	-person=33
@hoppers_crossing@	-location=23 -organization=1
@candidates_tournament@	-event=124
@cesar@	-location=61 -person=4 -award=2
@berwick@	-location=317 -product=26 -organization=12 -person=5 -title=1
@nick_cassavetes@	-person=71
@rod_gilbert@	-person=44
@kysuce@	-location=22
@terrence_ross@	-person=22
@bad_boy_bill@	-person=21
@port_melbourne@	-organization=278 -location=88 -metropolitan_transit-transit_line=8
@tung_chee_hwa@	-person=83
@stanley_medical_college@	-organization=27
@fram@	-product=108 -organization=84 -art=8 -location=2
@die_weltbühne@	-art=21
@fred_funk@	-person=57
@panthers@	-organization=51 -living_thing=25 -person=13 -art=5
@meung-sur-loire@	-location=23 -event=2
@sos@	-art=54 -product=7 -location=3 -organization=2 -biology=2
@ismail@	-person=53 -location=20
@slovenian_national_team@	-organization=25
@alcázar_of_seville@	-location=28
@idc@	-organization=52 -person=1
@russians@	-people-ethnicity=1035 -location=29 -organization=13 -art=7
@smilodon@	-living_thing=97
@the_last_remnant@	-product=25
@18th_dynasty@	-event=20
@calvisano@	-organization=47 -location=10
@martha_munizzi@	-person=34
@lrt@	-transit=87 -organization=1
@university_of_liberia@	-organization=65
@fondi@	-location=80 -organization=10
@willis@	-location=19 -person=9
@la_düsseldorf@	-person=34 -art=5
@brian_macdevitt@	-person=26
@zawisza_czarny@	-person=26 -product=1
@bibbiena@	-location=19 -person=1
@10th_district@	-location=69 -organization=1
@acacia_ridge@	-location=20
@tiswadi@	-location=22
@the_police@	-person=877 -organization=7 -art=4
@bourne_end@	-location=48 -event=1
@helix_high_school@	-organization=29
@fleur_saville@	-person=28
@rio_locsin@	-person=38
@mesa@	-location=260 -organization=22 -product=14 -computer-programming_language=9
@midnattsol@	-person=21
@queens_boulevard@	-location=89
@ononis@	-living_thing=22
@moguls@	-event=21 -location=7 -title=1
@the_skin_i_live_in@	-art=36
@berserk@	-art=69 -event=1
@the_slap@	-broadcast_program=24 -art=12
@sic@	-broadcast_network=118 -organization=49 -person=4 -chemistry=4 -location=1
@shenley_brook_end@	-location=20
@lille_university_of_science_and_technology@	-organization=42
@bury_f.c.@	-organization=50
@peter_paige@	-person=23
@zoe,_duncan,_jack_and_jane@	-broadcast_program=23
@déjà_vu@	-art=80 -product=3 -person=2 -organization=2
@coach_of_the_year@	-award=18 -art=2
@the_battle@	-event=36 -art=9 -location=1
@lex_barker@	-person=111
@first_hawaiian_bank@	-organization=30
@love_generation@	-art=17 -broadcast_program=8 -event=1
@brian_unger@	-person=20
@gottschalk@	-person=23
@unicorns@	-organization=39
@edgecombe_county@	-location=37
@sam_waterston@	-person=280
@emma_willis@	-person=90
@konnie_huq@	-person=58
@madisonville,_kentucky@	-location=39
@spider-man@	-art=271 -broadcast_program=197 -product=65 -person=1
@tanakh@	-art=595 -person=6
@andy_connell@	-person=28
@haywood_county,_north_carolina@	-location=38
@yelena_isinbayeva@	-person=95
@brac_university@	-organization=43
@comstock_prize_in_physics@	-award=22
@university_of_wales@	-organization=541 -location=17
@głubczyce_county@	-location=112
@phyllonorycter_esperella@	-living_thing=27
@bastrop,_texas@	-location=47
@truckee@	-location=73 -person=4 -organization=1
@mike_winters@	-person=21
@lon_morris_college@	-organization=24
@todd_dodge@	-person=30
@hannah@	-person=15 -art=3 -product=3 -location=3 -broadcast_program=2
@luster@	-location=77 -art=10
@argonne@	-location=53 -event=9 -product=1
@method_fest_independent_film_festival@	-event=27
@sound_editor@	-title=92
@the_godfather_part_ii@	-art=270
@albert_speer@	-person=443 -art=4
@screw@	-art=26 -person=4 -product=2
@fudge@	-broadcast_program=18 -food=12 -product=11
@holding_back_the_years@	-art=30
@woodchurch@	-location=38 -product=2
@reading@	-location=2079 -organization=1995 -event=21 -product=1 -person=1
@this_is_40@	-art=38
@frankie_yale@	-person=55
@killers@	-art=76 -person=4 -event=2
@frenchman@	-location=167 -organization=2
@university_of_kansas@	-organization=1976 -location=1
@henley_beach@	-location=26 -location=2
